s2_id_gee,longitude,latitude,time,cs_cdf,neon_date,days_diff,neon_id_gee,x,y,x_c,y_c,lat_c,lon_c,epsg,width,height,folder,neon_id,neon_val_null,abs_days_diff,dup_index,neon_ids,s2_date
COPERNICUS/S2_SR_HARMONIZED/20180518T171941_20180518T172813_T14SME,-99.07968426196261,35.39056792234314,2018-05-18,0.9058823529411765,2018-04-18,30,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,488159.53043557977,3917856.564890583,490739.53043557977,3915276.564890583,35.38078312060415,-99.10195731795068,EPSG:32614,5160,5160,2018_OAES_3,2018_OAES_3__05,0.0,30,2,2018_OAES_3__05__02,2018-05-18
COPERNICUS/S2_SR_HARMONIZED/20180503T171859_20180503T172147_T14SME,-99.03333119330205,35.39056792234314,2018-05-03,0.9058823529411765,2018-04-18,15,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,493319.53043557977,3917856.564890583,495899.53043557977,3915276.564890583,35.38081770339035,-99.0451459954161,EPSG:32614,5160,5160,2018_OAES_3,2018_OAES_3__06,2.1062271062271063,15,1,2018_OAES_3__06__01,2018-05-03
COPERNICUS/S2_SR_HARMONIZED/20180518T171941_20180518T172813_T14SME,-99.03333119330205,35.39056792234314,2018-05-18,0.9058823529411765,2018-04-18,30,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,493319.53043557977,3917856.564890583,495899.53043557977,3915276.564890583,35.38081770339035,-99.0451459954161,EPSG:32614,5160,5160,2018_OAES_3,2018_OAES_3__06,2.1062271062271063,30,2,2018_OAES_3__06__02,2018-05-18
COPERNICUS/S2_SR_HARMONIZED/20180503T171859_20180503T172147_T14SME,-99.17239039928376,35.34421485368257,2018-05-03,0.9058823529411765,2018-04-18,15,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,482999.53043557977,3912696.564890583,485579.53043557977,3910116.564890583,35.33419475760581,-99.15867746006224,EPSG:32614,5160,5160,2018_OAES_3,2018_OAES_3__07,4.822954822954824,15,1,2018_OAES_3__07__01,2018-05-03
COPERNICUS/S2_SR_HARMONIZED/20180518T171941_20180518T172813_T14SME,-99.17239039928376,35.34421485368257,2018-05-18,0.9019607843137255,2018-04-18,30,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,482999.53043557977,3912696.564890583,485579.53043557977,3910116.564890583,35.33419475760581,-99.15867746006224,EPSG:32614,5160,5160,2018_OAES_3,2018_OAES_3__07,4.822954822954824,30,2,2018_OAES_3__07__02,2018-05-18
COPERNICUS/S2_SR_HARMONIZED/20180503T171859_20180503T172147_T14SME,-99.07968426196261,35.34421485368257,2018-05-03,0.9058823529411765,2018-04-18,15,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,488159.53043557977,3912696.564890583,490739.53043557977,3910116.564890583,35.334255947261454,-99.10189885004355,EPSG:32614,5160,5160,2018_OAES_3,2018_OAES_3__08,0.0,15,1,2018_OAES_3__08__01,2018-05-03
COPERNICUS/S2_SR_HARMONIZED/20180518T171941_20180518T172813_T14SME,-99.07968426196261,35.34421485368257,2018-05-18,0.9058823529411765,2018-04-18,30,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,488159.53043557977,3912696.564890583,490739.53043557977,3910116.564890583,35.334255947261454,-99.10189885004355,EPSG:32614,5160,5160,2018_OAES_3,2018_OAES_3__08,0.0,30,2,2018_OAES_3__08__02,2018-05-18
COPERNICUS/S2_SR_HARMONIZED/20180503T171859_20180503T172147_T14SME,-99.03333119330205,35.34421485368257,2018-05-03,0.9019607843137255,2018-04-18,15,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,493319.53043557977,3912696.564890583,495899.53043557977,3910116.564890583,35.33429047094884,-99.04512010618724,EPSG:32614,5160,5160,2018_OAES_3,2018_OAES_3__09,2.1367521367521367,15,1,2018_OAES_3__09__01,2018-05-03
COPERNICUS/S2_SR_HARMONIZED/20180518T171941_20180518T172813_T14SME,-99.03333119330205,35.34421485368257,2018-05-18,0.9058823529411765,2018-04-18,30,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,493319.53043557977,3912696.564890583,495899.53043557977,3910116.564890583,35.33429047094884,-99.04512010618724,EPSG:32614,5160,5160,2018_OAES_3,2018_OAES_3__09,2.1367521367521367,30,2,2018_OAES_3__09__02,2018-05-18
COPERNICUS/S2_SR_HARMONIZED/20190420T170851_20190420T171657_T14SPC,-97.64273913348504,33.397385969938746,2019-04-20,0.9098039215686274,2019-04-19,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_CLBJ_4,622796.5769216812,3700997.903608599,625376.5769216812,3698417.903608599,33.417794668033174,-97.65152372353629,EPSG:32614,5160,5160,2019_CLBJ_4,2019_CLBJ_4__01,26.69196710942441,1,1,2019_CLBJ_4__01__01,2019-04-20
COPERNICUS/S2_SR_HARMONIZED/20190425T170859_20190425T171336_T14SPC,-97.64273913348504,33.397385969938746,2019-04-25,0.9058823529411765,2019-04-19,6,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_CLBJ_4,622796.5769216812,3700997.903608599,625376.5769216812,3698417.903608599,33.417794668033174,-97.65152372353629,EPSG:32614,5160,5160,2019_CLBJ_4,2019_CLBJ_4__01,26.69196710942441,6,2,2019_CLBJ_4__01__02,2019-04-25
COPERNICUS/S2_SR_HARMONIZED/20190420T170851_20190420T171657_T14SPC,-97.59638606482446,33.397385969938746,2019-04-20,0.9137254901960784,2019-04-19,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_CLBJ_4,627956.5769216812,3700997.903608599,630536.5769216812,3698417.903608599,33.41717904974529,-97.59604004291272,EPSG:32614,5160,5160,2019_CLBJ_4,2019_CLBJ_4__02,21.40605296343001,1,1,2019_CLBJ_4__02__01,2019-04-20
COPERNICUS/S2_SR_HARMONIZED/20190425T170859_20190425T171336_T14SPC,-97.59638606482446,33.397385969938746,2019-04-25,0.9098039215686274,2019-04-19,6,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_CLBJ_4,627956.5769216812,3700997.903608599,630536.5769216812,3698417.903608599,33.41717904974529,-97.59604004291272,EPSG:32614,5160,5160,2019_CLBJ_4,2019_CLBJ_4__02,21.40605296343001,6,2,2019_CLBJ_4__02__02,2019-04-25
COPERNICUS/S2_SR_HARMONIZED/20190420T170851_20190420T171657_T14SPB,-97.64273913348504,33.351032901278174,2019-04-20,0.9098039215686274,2019-04-19,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_CLBJ_4,622796.5769216812,3695837.903608599,625376.5769216812,3693257.903608599,33.37126539566725,-97.65224221447788,EPSG:32614,5160,5160,2019_CLBJ_4,2019_CLBJ_4__03,11.321339950372208,1,1,2019_CLBJ_4__03__01,2019-04-20
COPERNICUS/S2_SR_HARMONIZED/20190420T170851_20190420T171657_T14SPC,-97.64273913348504,33.351032901278174,2019-04-20,0.9098039215686274,2019-04-19,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_CLBJ_4,622796.5769216812,3695837.903608599,625376.5769216812,3693257.903608599,33.37126539566725,-97.65224221447788,EPSG:32614,5160,5160,2019_CLBJ_4,2019_CLBJ_4__03,11.321339950372208,1,2,2019_CLBJ_4__03__02,2019-04-20
COPERNICUS/S2_SR_HARMONIZED/20190420T170851_20190420T171657_T14SPB,-97.59638606482446,33.351032901278174,2019-04-20,0.9098039215686274,2019-04-19,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_CLBJ_4,627956.5769216812,3695837.903608599,630536.5769216812,3693257.903608599,33.37065085818837,-97.5967880733129,EPSG:32614,5160,5160,2019_CLBJ_4,2019_CLBJ_4__04,0.0,1,1,2019_CLBJ_4__04__01,2019-04-20
COPERNICUS/S2_SR_HARMONIZED/20190420T170851_20190420T171657_T14SPC,-97.59638606482446,33.351032901278174,2019-04-20,0.9098039215686274,2019-04-19,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_CLBJ_4,627956.5769216812,3695837.903608599,630536.5769216812,3693257.903608599,33.37065085818837,-97.5967880733129,EPSG:32614,5160,5160,2019_CLBJ_4,2019_CLBJ_4__04,0.0,1,2,2019_CLBJ_4__04__02,2019-04-20
COPERNICUS/S2_SR_HARMONIZED/20190420T170851_20190420T171657_T14SPB,-97.64273913348504,33.30467983261761,2019-04-20,0.9098039215686274,2019-04-19,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_CLBJ_4,622796.5769216812,3690677.903608599,625376.5769216812,3688097.903608599,33.324735760327336,-97.65295905641854,EPSG:32614,5160,5160,2019_CLBJ_4,2019_CLBJ_4__05,27.64817150063052,1,1,2019_CLBJ_4__05__01,2019-04-20
COPERNICUS/S2_SR_HARMONIZED/20190425T170859_20190425T171336_T14SPB,-97.64273913348504,33.30467983261761,2019-04-25,0.9058823529411765,2019-04-19,6,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_CLBJ_4,622796.5769216812,3690677.903608599,625376.5769216812,3688097.903608599,33.324735760327336,-97.65295905641854,EPSG:32614,5160,5160,2019_CLBJ_4,2019_CLBJ_4__05,27.64817150063052,6,2,2019_CLBJ_4__05__02,2019-04-25
COPERNICUS/S2_SR_HARMONIZED/20190420T170851_20190420T171657_T14SPB,-97.59638606482446,33.30467983261761,2019-04-20,0.9058823529411765,2019-04-19,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_CLBJ_4,627956.5769216812,3690677.903608599,630536.5769216812,3688097.903608599,33.32412230252972,-97.5975343869534,EPSG:32614,5160,5160,2019_CLBJ_4,2019_CLBJ_4__06,13.80272952853598,1,1,2019_CLBJ_4__06__01,2019-04-20
COPERNICUS/S2_SR_HARMONIZED/20190425T170859_20190425T171336_T14SPB,-97.59638606482446,33.30467983261761,2019-04-25,0.9019607843137255,2019-04-19,6,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_CLBJ_4,627956.5769216812,3690677.903608599,630536.5769216812,3688097.903608599,33.32412230252972,-97.5975343869534,EPSG:32614,5160,5160,2019_CLBJ_4,2019_CLBJ_4__06,13.80272952853598,6,2,2019_CLBJ_4__06__02,2019-04-25
COPERNICUS/S2_SR_HARMONIZED/20190801T153911_20190801T154113_T18TYN,-72.19490443883357,42.57529356473107,2019-08-01,0.9098039215686274,2019-08-11,-10,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_HARV_6,726365.2913285355,4718975.115371086,728945.2913285355,4716395.115371086,42.56602108966053,-72.21078847718216,EPSG:32618,5160,5160,2019_HARV_6,2019_HARV_6__01,17.391304347826086,10,1,2019_HARV_6__01__01,2019-08-01
COPERNICUS/S2_SR_HARMONIZED/20190826T153819_20190826T154455_T18TYN,-72.19490443883357,42.57529356473107,2019-08-26,0.9098039215686274,2019-08-11,15,projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_HARV_6,726365.2913285355,4718975.115371086,728945.2913285355,4716395.115371086,42.56602108966053,-72.21078847718216,EPSG:32618,5160,5160,2019_HARV_6,2019_HARV_6__01,17.391304347826086,15,2,2019_HARV_6__01__02,2019-08-26
